id,ime
1,PODATEK MANJKA
2,SPLOŠNA MATURA
3,POKLICNA MATURA
4,MEDNARODNA MATURA
5,ZI PO 1.6.95
6,ZI PRED 1.6.95
7,DIPLOMA
