id,ime
1,DRŽAVLJANSTVO NI NAVEDENO
2,DRŽAVLJAN(KA) REPUBLIKE SLOVENIJE
3,TUJI(A) DRŽAVLJAN(KA) S STALNIM BIVALIŠČEM V SLOVENIJI
4,TUJI(A) DRŽAVLJAN(KA) S STALNIM BIVALIŠČEM V TUJINI
5,SLOVENEC(KA) BREZ SLOVENSKEGA DRŽAVLJANSTVA
6,DVOJNO DRŽAVLJANSTVO
7,DRŽAVLJAN(KA) DRŽAVE EU
